time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,"city,region",dist_se,city,country
2010-05-25 20:36:34.570000+00:00,18.488,-72.612,10.0,3.4,ml,7.0,99.2,,1.36,us,usp000hd5t,2014-11-07 01:41:32.884000+00:00,"3 km SE of Léogâne, Haiti",earthquake,,,,,reviewed,us,us," Léogâne, Haiti",3.0,Léogâne,Haiti
2010-05-20 06:34:11.330000+00:00,18.456,-72.807,10.0,4.3,mb,56.0,34.4,,1.23,us,usp000hcyu,2022-07-16 13:49:47.538000+00:00,"5 km NW of Grangwav, Haiti",earthquake,,,,13.0,reviewed,us,us," Grangwav, Haiti",5.0,Grangwav,Haiti
2010-05-12 00:47:37.570000+00:00,18.493,-72.852,10.0,3.1,ml,6.0,100.3,,1.3,us,usp000hcn9,2014-11-07 01:41:28.828000+00:00,"6 km NNE of Tigwav, Haiti",earthquake,,,,,reviewed,us,us," Tigwav, Haiti",6.0,Tigwav,Haiti
2010-05-07 02:10:32.920000+00:00,18.506,-72.709,10.0,4.1,mb,19.0,99.5,,1.19,us,usp000hce7,2014-11-07 01:41:27.508000+00:00,"8 km W of Léogâne, Haiti",earthquake,,,,5.0,reviewed,us,us," Léogâne, Haiti",8.0,Léogâne,Haiti
2010-05-03 19:21:24.720000+00:00,18.507,-72.617,10.5,4.3,mb,32.0,99.0,,1.05,us,usp000hc9f,2022-07-16 12:38:56.008000+00:00,"1 km ESE of Léogâne, Haiti",earthquake,,4.2,,5.0,reviewed,us,us," Léogâne, Haiti",1.0,Léogâne,Haiti
2010-05-03 05:38:48.700000+00:00,18.553,-72.66,10.0,4.0,mb,29.0,49.1,,1.03,us,usp000hc8n,2014-11-07 01:41:25.884000+00:00,"5 km NNW of Léogâne, Haiti",earthquake,,,,4.0,reviewed,us,us," Léogâne, Haiti",5.0,Léogâne,Haiti
2010-04-23 03:49:21.930000+00:00,18.446,-72.945,10.0,4.0,mb,22.0,70.6,,1.18,us,usp000hbt9,2014-11-07 01:41:18.662000+00:00,"8 km W of Tigwav, Haiti",earthquake,,,,6.0,reviewed,us,us," Tigwav, Haiti",8.0,Tigwav,Haiti
2010-04-15 13:04:57.350000+00:00,18.532,-72.857,5.0,4.4,mb,58.0,37.3,,1.12,us,usp000hben,2014-11-07 01:41:16.448000+00:00,"11 km N of Tigwav, Haiti",earthquake,,7.8,,18.0,reviewed,us,us," Tigwav, Haiti",11.0,Tigwav,Haiti
2010-04-14 04:49:34.300000+00:00,18.402,-72.896,10.0,4.1,mb,38.0,51.3,,1.02,us,usp000hbca,2014-11-07 01:41:16.154000+00:00,"4 km SW of Tigwav, Haiti",earthquake,,,,5.0,reviewed,us,us," Tigwav, Haiti",4.0,Tigwav,Haiti
2010-04-11 16:32:24.750000+00:00,18.444,-72.778,10.0,3.6,ml,11.0,82.5,,0.87,us,usp000hb71,2014-11-07 01:41:15.330000+00:00,"2 km NNW of Grangwav, Haiti",earthquake,,,,,reviewed,us,us," Grangwav, Haiti",2.0,Grangwav,Haiti
2010-04-09 05:37:22.230000+00:00,18.418,-72.833,10.0,3.1,ml,7.0,101.3,,1.09,us,usp000hb16,2014-11-07 01:41:14.141000+00:00,"3 km ESE of Tigwav, Haiti",earthquake,,,,,reviewed,us,us," Tigwav, Haiti",3.0,Tigwav,Haiti
2010-04-08 06:27:29.410000+00:00,18.499,-72.475,10.0,3.2,ml,7.0,92.4,,1.36,us,usp000hayd,2014-11-07 01:41:13.829000+00:00,"7 km SE of Gressier, Haiti",earthquake,,,,,reviewed,us,us," Gressier, Haiti",7.0,Gressier,Haiti
2010-03-28 07:16:17.510000+00:00,18.442,-72.88,10.0,4.2,mb,49.0,39.5,,1.01,us,usp000ha27,2014-11-07 01:41:06.120000+00:00,"1 km NW of Tigwav, Haiti",earthquake,,,,4.0,reviewed,us,us," Tigwav, Haiti",1.0,Tigwav,Haiti
2010-03-26 16:21:17.620000+00:00,19.934,-73.246,10.0,3.2,ml,5.0,141.1,,0.76,us,usp000ha0b,2014-11-07 01:41:05.860000+00:00,"10 km NNW of Jean-Rabel, Haiti",earthquake,,,,,reviewed,us,us," Jean-Rabel, Haiti",10.0,Jean-Rabel,Haiti
2010-03-21 02:44:29.120000+00:00,18.469,-72.498,10.0,4.1,mb,27.0,66.3,,1.23,us,usp000h9s8,2022-07-16 08:33:02.926000+00:00,"8 km SSE of Gressier, Haiti",earthquake,,,,3.0,reviewed,us,us," Gressier, Haiti",8.0,Gressier,Haiti
2010-03-01 14:51:33.460000+00:00,18.508,-72.348,10.0,3.5,ml,5.0,285.8,,0.97,us,usp000h8dy,2014-11-07 01:40:52.676000+00:00,"4 km SSW of Port-au-Prince, Haiti",earthquake,,,,,reviewed,us,us," Port-au-Prince, Haiti",4.0,Port-au-Prince,Haiti
2010-03-01 10:37:35.550000+00:00,18.389,-72.837,10.0,4.0,mb,45.0,36.0,,1.28,us,usp000h8d2,2022-07-16 04:10:36.722000+00:00,"5 km SSE of Tigwav, Haiti",earthquake,,,,5.0,reviewed,us,us," Tigwav, Haiti",5.0,Tigwav,Haiti
2010-02-23 06:26:20.840000+00:00,18.453,-72.586,9.8,4.8,mb,156.0,20.0,,1.0,us,usp000h7kk,2022-07-16 03:01:16.785000+00:00,"8 km SE of Léogâne, Haiti",earthquake,,3.8,,74.0,reviewed,us,us," Léogâne, Haiti",8.0,Léogâne,Haiti
2010-02-22 09:36:03.060000+00:00,18.491,-72.56,9.3,4.6,mwr,92.0,23.8,,1.07,us,usp000h7jg,2022-07-16 03:01:38.324000+00:00,"6 km SSW of Gressier, Haiti",earthquake,,4.3,,,reviewed,us,us," Gressier, Haiti",6.0,Gressier,Haiti
2010-02-09 22:44:29.330000+00:00,18.444,-72.664,10.0,4.0,mb,23.0,51.6,,1.27,us,usp000h74c,2022-07-16 02:14:35.354000+00:00,"8 km SSW of Léogâne, Haiti",earthquake,,,,4.0,reviewed,us,us," Léogâne, Haiti",8.0,Léogâne,Haiti
2010-01-30 23:29:36.600000+00:00,18.424,-73.017,10.0,4.1,mb,13.0,102.1,,1.43,us,usp000h6t6,2014-11-07 01:40:35.453000+00:00,"8 km ESE of Miragoâne, Haiti",earthquake,,,,1.0,reviewed,us,us," Miragoâne, Haiti",8.0,Miragoâne,Haiti
